trade_number,date,time,account,symbol,direction,entry,exit_price,stop,target,exit_reason,al_strength,al_touches,al_age,al_tier,sl_quality,sl_touches,sl_age,sl_tier,sl_price,grade,session,yellow_levels,confirmations,notes,pnl
72,2026-04-09,09:48,A2,MNQ,long,25342,25169,25169,25499,stop,strong,,,,weak,,,,,a,Open,,,Negative R:R 0.91:1. SL only 2 days old. Should have skipped.,-346
70,2026-04-08,09:40,A1,MGC,short,4802.4,4747.5,4881,4727,manual,standard,,,,strong,,,,,a,Open,,,Psychology — closed early due to prior losses. Target would have been hit.,549
69,2026-04-08,08:22,A1,MGC,short,4806,4831.1,4879,4727,manual,standard,,,,strong,,,,,a,Pre-open,,,Poor R:R 1.08:1. Price moved against immediately. Correct to scratch.,-251
68,2026-04-07,21:00,A1,MGC,short,4835,4826.8,4892,4727,manual,standard,,,,strong,,,,,a,Pre-mkt,,,AL 2 touches under 1 day. SL 3 touches 1wk+. Closed early — hit target after exit.,82
67,2026-04-06,21:48,A1,MGC,short,4665,4697.7,4697.7,4600,stop,strong,,,,weak,,,,,a,Pre-mkt,,,AL 4 touches 14 days strong. SL 4 touches under 1 week — age dropped it.,-327
65,2026-04-06,21:40,A1,MGC,long,4684.9,4665,4665,4732,stop,standard,,,,strong,,,,,aminus,Pre-mkt,,,AL not crossed — premature entry on daily support. SL 4+ touches 1wk+.,-199
66,2026-04-06,13:08,A1,MNQ,short,24260,24348,24455,24000,manual,standard,,,,strong,,,,,aminus,Mid-sess,,,Competing green ascending line 3 touches 6 days. Apex compression.,-176
64,2026-04-06,,A2,MNQ,short,24266.75,24327,24453,24000,manual,standard,,,,strong,,,,,a,Mid-sess,,,AL 2 touches under 1 day. SL 3 touches 19 days strong.,-121
62,2026-04-05,21:02,A1,MGC,long,4655.9,4656.5,4617,4720,manual,standard,2,<1day,,weak,3,1wk+,,,a,Pre-mkt,4600/4674,AL crossed,"It was hitting the SL and bounced off as SL was strong hence I took the trade, but it was slow I closed it. It did not hit my profit target I was up like $400, I should have taken but I did not",6
60,2026-04-03,22:02,A1,MNQ,short,24194,24143,24274,,manual,standard,2,<1day,,strong,4,15days,,24274,a,Pre-mkt,24223,"AL crossed,Yellow S/R cleared,SL identified",AL 2 touches under 1 day. SL 4 touches 15 days. HTF red line + yellow resistance. Good Friday low liquidity.,102
61,2026-04-03,21:58,A2,MNQ,short,24196,24142,24274,,manual,standard,2,<1day,,strong,4,15days,,24274,a,Pre-mkt,24223,"AL crossed,Yellow S/R cleared,SL identified",AL 2 touches under 1 day. SL 4 touches 15 days = ★ Strong. HTF red line confluence. Good Friday low liquidity.,108
59,2026-04-02,21:05,A2,MNQ,short,24113,23887.25,24333.9,,manual,standard,4,2days,,weak,2,14days,,24333.9,aminus,Pre-mkt,24223/23871,"AL crossed,Yellow S/R cleared,Open space",AL 4 touches 2 days = standard. SL 2 touches 14 days = weak. News catalyst. Manual exit near yellow.,452
58,2026-04-02,21:05,A1,MGC,short,4780,4749.1,4814,4749.1,target,standard,2,2days,,strong,4,29days,,4814,a,Pre-mkt,4800/4749,"AL crossed,Yellow S/R cleared,SL identified",AL 2 touches 2 days. SL 4 touches 29 days = ★ Strong. Target hit.,309
57,2026-04-02,14:34,A1,MGC,short,4774.6,4813.9,4813.9,4735,stop,standard,3,2days,,strong,5,30days,,4813.9,a,Mid-sess,4800/4650,"AL crossed,SL identified",AL 3 touches 2 days. SL 5 touches 30 days = exceptional. Stop hit.,-393
56,2026-04-02,11:45,A2,MNQ,long,24302.5,24308.75,24222,24518,manual,standard,2,14days,,weak,3,<1day,,24222,aminus,Mid-sess,24518/24223,"AL crossed,SL identified",AL 2 touches 14 days = standard. SL 3 touches under 1 day. Scratched.,13
55,2026-04-02,11:20,A1,MGC,long,4801.3,4807,4779,4850,manual,strong,4,1wk+,,weak,3,2days,,4779,a,Mid-sess,4800/4650/4586,"AL crossed,SL identified",AL ★ Strong 4 touches 1wk+. SL weak 3 touches 2 days. Slow price action.,57
53,2026-04-01,12:38,A2,MNQ,long,23624.75,23792,23380,23792,target,standard,3,5days,,weak,3,<1day,,23380,aminus,Mid-sess,,"AL crossed,Yellow S/R cleared,Open space",AL 3 touches 5 days. SL weak under 1 day.,335
54,2026-04-01,12:38,A1,MGC,long,4664.8,4692,4641,4850,manual,strong,4,19days,,strong,3,8days,,4641,aplus,Mid-sess,4650/4586/4420,"AL crossed,Yellow S/R cleared,SL identified,Open space",A+. AL ★ Strong 4 touches 19 days. SL ★ Strong 3 touches 8 days. Daily yellow 4650 crossed.,272
52,2026-03-31,20:42,A1,MNQ,long,23104,23230,23000,,manual,standard,3,<1day,,weak,2,1wk+,,23000,aminus,Pre-mkt,23043,"AL crossed,Yellow S/R cleared,SL identified",Long off daily yellow 23043 bounce.,252
51,2026-03-31,09:40,A1,MGC,short,4568.4,4559.2,4614,4510,manual,standard,2,<1day,,strong,3,1wk+,,4614,aminus,Open,4396/4600/4650,"AL crossed,SL identified",AL 2 touches under 1 day. SL 17 days 3 touches. Slow price action.,92
50,2026-03-31,09:38,A2,MNQ,short,23411,23332,23520,23115,manual,standard,3,<1day,,strong,3,4-6days,,23540,aminus,Open,23043,"AL crossed,SL identified,Open space",AL standard 3 touches under 1 day. SL strong 3 touches 4-6 days. Market downtrend.,158
49,2026-03-27,11:25,A1,MGC,long,4532,4574,4504,4586,manual,strong,3,1wk+,,strong,4,4-6days,,4504,a,Mid-sess,4586/4510/4420/4348/4295,"Yellow S/R cleared,Open space",AL crossed 4hr yellow simultaneously. Manual exit 12pts early.,420
48,2026-03-26,16:00,A1,MGC,short,4392,4418,4418,,stop,standard,3,<1wk,,weak,2,<1wk,,4418,aminus,Late,,"AL crossed,Yellow S/R cleared,SL identified",A-. Late session 4PM AVOID.,-260
47,2026-03-26,14:28,A2,MNQ,short,23849.5,23915,23915,,stop,strong,3,1wk+,,weak,2,<1wk,,23915,a,Mid-sess,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. AL ★ Strong. SL 3 touches all within 1 day.,-131
46,2026-03-25,20:52,A1,MGC,long,4566,4497.6,4497.6,,stop,strong,3,1wk+,,weak,2,<1wk,,4497.6,a,Pre-mkt,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. AL ★ Strong. SL weak. Stopped 01:46 AM dead zone.,-684
45,2026-03-25,09:18,A2,MNQ,short,24241.25,24454.25,24454,,stop,standard,3,<1wk,,weak,2,<1wk,,24454,aminus,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A-. Apex compression — price broke UP. Stop hit.,-426
44,2026-03-24,15:15,A1,MGC,short,4397.4,4454.5,4479,,stop,standard,3,<1wk,,strong,3,1wk+,,4479,a,Late,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. SL ★ Strong 1wk+. Safety Line broke upward. Late session.,-571
43,2026-03-24,11:36,A2,MNQ,short,24563,24322,24757,,target,standard,2,<1wk,,weak,2,<1wk,,24757,aminus,Mid-sess,24678,"AL crossed,Yellow S/R cleared,SL identified,Open space",A-. Yellow 24678 rejection. Target hit.,482
42,2026-03-19,13:32,A2,MNQ,short,24228.25,24130.75,24293,,target,strong,3,1wk+,,weak,2,<1wk,,24293,a,Mid-sess,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. Crosses alert confirmed. Target hit.,195
41,2026-03-19,10:54,A1,MGC,short,4550.9,4505.9,4620,,target,standard,3,<1wk,,strong,3,1wk+,,4620,aminus,Open,,"AL crossed,Yellow S/R cleared,SL identified",A-. HTF + yellow rejection. Target hit.,450
40,2026-03-18,23:05,A1,MGC,long,4707,4658,4658,,stop,standard,2,<1wk,,weak,2,<1wk,,4658,a,Overnight,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. Stopped out at 06:00 EST.,-490
39,2026-03-18,15:45,A1,MGC,long,4654.1,4649.6,,,manual,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,A-. Scratched quickly.,-45
37,2026-03-18,08:32,A2,MNQ,short,24967.5,24889.25,25197,,target,standard,2,<1wk,,weak,2,<1wk,,25197,aminus,Pre-open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A-. Apex convergence. Target hit.,157
38,2026-03-18,08:32,A2,MNQ,short,24723.25,24570,25197,,manual,standard,2,<1wk,,weak,2,<1wk,,25197,aminus,Pre-open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A-. Re-entry. Covered at Safety Line 3rd touch.,307
36,2026-03-18,07:10,A1,MGC,short,4955.5,4862.1,5017,,target,strong,4,1wk+,,weak,2,<1wk,,5017,a,Pre-open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. HTF broke down + yellow cleared. Target hit.,934
35,2026-03-17,09:43,A1,MGC,long,5034,5009,4987,,manual,standard,3,<1wk,,strong,3,1wk+,,4987,a,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A. Safety Line ★ Strong. Closed manually.,-250
34,2026-03-16,15:26,A1,MNQ,short,24877.25,24829,25061,,manual,standard,2,<1wk,,weak,2,<1wk,,25061,aminus,Mid-sess,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A-. Closed manually.,97
33,2026-03-15,20:49,A1,MGC,long,5033.15,5005,4996,,stop,standard,2,<1wk,,weak,2,<1wk,,4996,aminus,Pre-mkt,,"AL crossed,Yellow S/R cleared,SL identified",A-. Closed 5005.,-282
32,2026-03-15,19:32,A1,MGC,short,5031,5032.2,,,stop,standard,2,<1wk,,weak,2,<1wk,,,a,Pre-mkt,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Multi-line apex. Stopped.,-12
15,2026-03-13,18:05,A1,MCL,long,97.2,94.83,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,"AL crossed,Yellow S/R cleared",2 touches. Stopped.,-237
31,2026-03-13,14:09,A2,MCL,long,98.8,95.23,93.01,,stop,strong,4,1wk+,,strong,4,1wk+,,93.01,aplus,Mid-sess,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A+. Closed 95.23.,-357
30,2026-03-13,08:02,A2,MNQ,long,24673,24372.5,,,stop,standard,3,<1wk,,strong,3,1wk+,,,a,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Failed breakout at apex.,-601
14,2026-03-13,08:01,A1,MGC,long,5117.5,5057.7,,,stop,standard,3,<1wk,,strong,3,1wk+,,,a,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Failed breakout.,-598
29,2026-03-12,18:05,A2,MCL,long,97.11,93.55,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,"AL crossed,Yellow S/R cleared",2 touches. Stopped.,-356
13,2026-03-12,11:11,A1,MGC,short,5166.7,5119,,,target,standard,3,<1wk,,strong,3,1wk+,,,a,Mid-sess,,"AL crossed,Yellow S/R cleared,Open space",Safety Line 3+ touches.,477
12,2026-03-11,18:35,A1,MGC,short,5166.7,5119,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Pre-mkt,,"AL crossed,Yellow S/R cleared,Open space",A+.,477
28,2026-03-11,18:23,A2,MNQ,short,24896.5,24692.25,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Pre-mkt,,"AL crossed,Yellow S/R cleared,Open space",A+.,409
27,2026-03-11,11:30,A2,MNQ,short,24920.5,24940,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,Small stop.,-39
11,2026-03-11,09:45,A1,MGC,short,5167.3,5184.9,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Open,,AL crossed,Stopped.,-176
26,2026-03-10,15:34,A2,MCL,long,87,86.46,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,Stopped quickly.,-54
25,2026-03-10,11:32,A2,MGC,long,5240.3,5238.5,,,manual,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,Scratched.,-18
10,2026-03-09,21:21,A1,MGC,long,5167.1,5222,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Pre-mkt,,"AL crossed,Yellow S/R cleared,Open space",A+. Breakout.,549
24,2026-03-09,19:38,A2,MNQ,short,24895.25,25062,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,AL crossed,2 touches. Stopped.,-334
9,2026-03-09,10:50,A1,MNQ,long,24558,24816.25,,,target,standard,3,<1wk,,strong,3,1wk+,,,a,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Safety Line 3+ touches.,516
8,2026-03-09,10:44,A1,MNQ,short,24534.25,24552.75,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Open,,AL crossed,Stopped quickly.,-37
23,2026-03-08,22:59,A2,MNQ,long,24092.25,24292.25,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Pre-mkt,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A+.,400
6,2026-03-06,08:30,A1,MGC,long,5124.2,5175.2,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Open,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Textbook A+.,510
7,2026-03-05,22:27,A1,MCL,long,80.08,82.8,,,target,standard,3,<1wk,,weak,2,<1wk,,,a,Pre-mkt,,"AL crossed,Yellow S/R cleared,SL identified,Open space",Entry on Safety Line floor.,272
22,2026-03-04,20:17,A2,MNQ,short,25164.75,24845.5,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Pre-mkt,,"AL crossed,Yellow S/R cleared,Open space",A+.,639
21,2026-03-04,19:01,A2,MNQ,short,25165.5,25231.75,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,AL crossed,Stopped.,-133
5,2026-03-04,18:59,A1,MGC,long,5176.8,5140.2,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,AL crossed,Stopped on Safety Line.,-366
4,2026-03-04,15:11,A1,MNQ,short,25153.5,25172.25,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,Stopped.,-38
20,2026-03-04,12:24,A2,MCL,long,74.95,75.95,,,target,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,"AL crossed,Yellow S/R cleared",Small win.,100
19,2026-03-04,11:03,A2,MCL,long,74.63,73.84,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Mid-sess,,AL crossed,Stopped quickly.,-79
18,2026-03-03,20:12,A2,MNQ,short,24705.25,24760.75,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Pre-mkt,,AL crossed,Stopped quickly.,-111
3,2026-03-03,19:49,A1,MGC,long,5147.1,5157.3,,,target,standard,2,<1wk,,weak,2,<1wk,,,a,Pre-mkt,,"AL crossed,Yellow S/R cleared",Small win.,102
2,2026-03-03,09:46,A1,MNQ,long,24582.75,24432,,,stop,standard,2,<1wk,,weak,2,<1wk,,,aminus,Open,,AL crossed,Stopped quickly.,-301
1,2026-03-03,04:26,A1,MGC,short,5255.7,5255.7,,,stop,standard,2,1wk+,,weak,2,<1wk,,,a,Overnight,,AL crossed,Short carried from prior period.,0
17,2026-03-02,13:19,A2,MNQ,short,25035.25,24683.25,,,target,strong,4,1wk+,,strong,4,1wk+,,,aplus,Mid-sess,,"AL crossed,Yellow S/R cleared,SL identified,Open space",A+.,684
16,2026-03-01,20:28,A2,MCL,long,,70.13,,,target,standard,2,<1wk,,weak,2,<1wk,,,a,Pre-mkt,,AL crossed,Carry from prior period.,311
